City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ushuaia,AR,2021-05-27 21:10:04,-54.8,-68.3,29.86,93,75,24.16
1,Iquique,CL,2021-05-27 21:11:47,-20.2208,-70.1431,64.44,74,100,3.13
2,Maltahohe,NA,2021-05-27 21:11:47,-24.8333,16.9833,59.38,34,8,6.06
3,Saint-Philippe,RE,2021-05-27 21:11:48,-21.3585,55.7679,71.19,77,51,5.35
4,Tukrah,LY,2021-05-27 21:11:48,32.5341,20.5791,70.36,65,2,4.23
5,Codrington,AU,2021-05-27 21:11:48,-38.2667,141.9667,51.69,72,100,11.79
6,Anniston,US,2021-05-27 21:11:49,33.6598,-85.8316,85.05,65,75,5.75
7,Flin Flon,CA,2021-05-27 21:11:49,54.7682,-101.865,60.37,26,100,13.15
8,Qaanaaq,GL,2021-05-27 21:09:15,77.484,-69.3632,37.35,80,100,5.79
9,Chapais,CA,2021-05-27 21:11:49,49.7834,-74.8492,35.38,43,100,14.56
10,Jamestown,US,2021-05-27 21:08:53,42.097,-79.2353,69.12,50,1,4.0
11,Mae Ramat,TH,2021-05-27 21:11:50,16.984,98.5166,75.94,98,99,0.18
12,Airai,TL,2021-05-27 21:11:50,-8.9266,125.4092,54.86,88,67,4.07
13,Canaries,ES,2021-05-27 21:11:51,28.0,-15.5,60.76,64,20,11.07
14,Tasiilaq,GL,2021-05-27 21:11:51,65.6145,-37.6368,41.16,88,97,7.78
15,Nikolskoye,RU,2021-05-27 21:11:51,59.7035,30.7861,52.39,99,100,4.72
16,Tuktoyaktuk,CA,2021-05-27 21:11:51,69.4541,-133.0374,30.97,73,100,11.41
17,Cape Town,ZA,2021-05-27 21:07:26,-33.9258,18.4232,60.89,74,99,7.0
18,Muisne,EC,2021-05-27 21:11:52,0.6,-80.0333,78.42,83,83,12.35
19,Huarmey,PE,2021-05-27 21:11:52,-10.0681,-78.1522,70.3,83,33,7.81
20,Hermanus,ZA,2021-05-27 21:11:41,-34.4187,19.2345,63.81,70,84,13.15
21,Pacific Grove,US,2021-05-27 21:11:53,36.6177,-121.9166,85.6,75,20,5.99
22,Petropavlovsk-Kamchatskiy,RU,2021-05-27 21:11:53,53.0452,158.6483,46.99,61,27,12.3
23,Adet,ET,2021-05-27 21:11:53,11.2644,37.4888,63.41,64,70,4.12
24,Qandala,SO,2021-05-27 21:11:54,11.472,49.8728,87.33,61,91,1.59
25,Abu Dhabi,AE,2021-05-27 21:09:38,24.4667,54.3667,89.62,45,0,13.53
26,Byron Bay,AU,2021-05-27 21:11:16,-28.65,153.6167,51.87,86,6,8.72
27,Rikitea,PF,2021-05-27 21:11:54,-23.1203,-134.9692,71.64,56,58,5.03
28,Sao Filipe,CV,2021-05-27 21:11:55,14.8961,-24.4956,73.08,79,2,8.32
29,Atuona,PF,2021-05-27 21:11:55,-9.8,-139.0333,79.2,72,12,14.38
30,Thompson,CA,2021-05-27 21:11:56,55.7435,-97.8558,58.75,19,100,9.51
31,Mizdah,LY,2021-05-27 21:11:56,31.4451,12.9801,84.24,17,86,13.0
32,Busselton,AU,2021-05-27 21:11:56,-33.65,115.3333,53.1,79,0,9.15
33,Peterhead,GB,2021-05-27 21:07:03,57.5058,-1.7981,50.45,89,9,8.61
34,Garzon,CO,2021-05-27 21:11:57,2.1959,-75.6278,77.68,82,80,4.14
35,Punta Arenas,CL,2021-05-27 21:11:35,-53.15,-70.9167,33.91,60,0,15.46
36,Berlevag,NO,2021-05-27 21:11:57,70.8578,29.0864,37.2,77,95,24.61
37,Puerto Ayora,EC,2021-05-27 21:11:58,-0.7393,-90.3518,82.36,90,51,8.01
38,Ilulissat,GL,2021-05-27 21:11:58,69.2167,-51.1,57.22,28,64,14.97
39,Norman Wells,CA,2021-05-27 21:11:58,65.282,-126.8329,44.35,71,100,1.12
40,Lima,PE,2021-05-27 21:08:00,-12.0432,-77.0282,68.9,80,90,8.05
41,Palmer,US,2021-05-27 21:11:59,42.1584,-72.3287,79.48,43,75,1.01
42,Zarate,AR,2021-05-27 21:11:59,-34.0981,-59.0286,67.95,77,24,7.43
43,Kapaa,US,2021-05-27 21:11:59,22.0752,-159.319,82.38,72,40,5.99
44,Avarua,CK,2021-05-27 21:12:00,-21.2078,-159.775,82.45,83,75,13.8
45,Ancud,CL,2021-05-27 21:12:00,-41.8697,-73.8203,51.33,83,100,29.71
